match,commence_time,logged_at_utc,submission_id,score,actual_score,predicted_probability,hit
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,5-1,4-1,0.009103063424024366,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,5-2,4-1,0.00531012033068088,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,5-3,4-1,0.0021240481322723523,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,5-4,4-1,0.0012744288793634113,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,0-0,4-1,0.09440213921210454,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,1-1,4-1,0.11179200696170273,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,2-2,4-1,0.04248096264544704,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,3-3,4-1,0.01062024066136176,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,4-4,4-1,0.0018206126848048733,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,0-1,4-1,0.07965180496021321,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,0-2,4-1,0.03748320233421798,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,1-2,4-1,0.0531012033068088,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,0-3,4-1,0.013852487819167513,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,1-3,4-1,0.0177004011022696,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,2-3,4-1,0.013852487819167513,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,0-4,4-1,0.00579285854256096,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,1-4,4-1,0.007496640466843596,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,2-4,4-1,0.006372144396817056,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,3-4,4-1,0.003748320233421798,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,0-5,4-1,0.001593036099204264,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,1-5,4-1,0.0021240481322723523,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,2-5,4-1,0.001593036099204264,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,3-5,4-1,0.001416032088181568,0
USA vs Paraguay,2026-06-13T01:02:00Z,2026-06-11T00:04:00+00:00,conversation-05-usa-paraguay,4-5,4-1,0.0012744288793634113,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,1-0,1-1,0.030658585541733986,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,2-0,1-1,0.011706005388662068,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,2-1,1-1,0.02011969676176293,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,3-0,1-1,0.004023939352352586,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,3-1,1-1,0.007153669959737931,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,3-2,1-1,0.008047878704705172,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,4-0,1-1,0.0012876605927528277,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,4-1,1-1,0.0016095757409410345,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,4-2,1-1,0.0018395151325040393,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,4-3,1-1,0.0014307339919475861,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,5-0,1-1,0.0012876605927528277,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,5-1,1-1,0.0012876605927528277,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,5-2,1-1,0.0012876605927528277,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,5-3,1-1,0.0012876605927528277,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,5-4,1-1,0.0012876605927528277,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,0-0,1-1,0.05365252469803448,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,1-1,1-1,0.06438302963764138,1
