match,commence_time,logged_at_utc,submission_id,outcome,actual_outcome,predicted_probability,hit
New Zealand vs Egypt,2026-06-22T01:00:00Z,2026-06-21T00:15:00+00:00,conversation-new-zealand-egypt-20260621,draw,away,0.22620471401483788,0
New Zealand vs Egypt,2026-06-22T01:00:00Z,2026-06-21T00:15:00+00:00,conversation-new-zealand-egypt-20260621,away,away,0.5786976355240103,1
Argentina vs Austria,2026-06-22T17:00:00Z,2026-06-22T00:00:00+00:00,conversation-argentina-austria-20260622,home,home,0.618192672766704,1
Argentina vs Austria,2026-06-22T17:00:00Z,2026-06-22T00:00:00+00:00,conversation-argentina-austria-20260622,draw,home,0.20959937500090312,0
Argentina vs Austria,2026-06-22T17:00:00Z,2026-06-22T00:00:00+00:00,conversation-argentina-austria-20260622,away,home,0.1544446316346037,0
France vs Iraq,2026-06-22T21:00:00Z,2026-06-22T00:05:00+00:00,conversation-france-iraq-20260622,home,home,0.7551495233125034,1
France vs Iraq,2026-06-22T21:00:00Z,2026-06-22T00:05:00+00:00,conversation-france-iraq-20260622,draw,home,0.08206429796395266,0
France vs Iraq,2026-06-22T21:00:00Z,2026-06-22T00:05:00+00:00,conversation-france-iraq-20260622,away,home,0.05396968394207142,0
Norway vs Senegal,2026-06-23T00:00:00Z,2026-06-22T00:10:00+00:00,conversation-norway-senegal-20260622,home,home,0.4351056818361333,1
Norway vs Senegal,2026-06-23T00:00:00Z,2026-06-22T00:10:00+00:00,conversation-norway-senegal-20260622,draw,home,0.25241127908763533,0
Norway vs Senegal,2026-06-23T00:00:00Z,2026-06-22T00:10:00+00:00,conversation-norway-senegal-20260622,away,home,0.3012882129541679,0
Jordan vs Algeria,2026-06-23T03:00:00Z,2026-06-22T00:15:00+00:00,conversation-jordan-algeria-20260622,home,away,0.17394394544663697,0
Jordan vs Algeria,2026-06-23T03:00:00Z,2026-06-22T00:15:00+00:00,conversation-jordan-algeria-20260622,draw,away,0.2148350137914427,0
