match,commence_time,logged_at_utc,submission_id,score,actual_score,displayed_probability_pct,hit
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,1-1,1-1,1.0,1
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,2-2,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,3-3,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,4-4,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,0-1,1-1,4.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,0-2,1-1,32.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,1-2,1-1,7.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,0-3,1-1,27.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,1-3,1-1,6.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,2-3,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,0-4,1-1,7.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,1-4,1-1,1.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,2-4,1-1,2.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,3-4,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,0-5,1-1,1.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,1-5,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,2-5,1-1,0.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,3-5,1-1,1.0,0
Qatar vs Switzerland,2026-06-13T19:04:00Z,2026-06-12T22:39:19+00:00,conversation-10-qatar-switzerland,4-5,1-1,1.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,1-0,1-1,8.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,2-0,1-1,7.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,2-1,1-1,23.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,3-0,1-1,1.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,3-1,1-1,6.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,3-2,1-1,7.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,4-0,1-1,1.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,4-1,1-1,1.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,4-2,1-1,0.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,4-3,1-1,0.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,5-0,1-1,0.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,5-1,1-1,1.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,5-2,1-1,0.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,5-3,1-1,0.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,5-4,1-1,0.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,0-0,1-1,4.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,1-1,1-1,9.0,1
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,2-2,1-1,12.0,0
Brazil vs Morocco,2026-06-13T22:04:00Z,2026-06-12T22:27:34+00:00,conversation-06-brazil-morocco,3-3,1-1,1.0,0
