commence_time,match,strategy_snapshot,selected_score,actual_score,outcome_correct,exact_score_correct,selected_base_points,base_points,exact_bonus_points,realized_points,bookmaker_outcome_probability,bookmaker_exact_score_probability,bookmaker_conditional_bettor_share,bookmaker_nominal_bonus_label,bookmaker_nominal_bonus_points,bookmaker_expected_bonus_points,bookmaker_assessed_expected_points,original_compute_expected_points
2026-06-24T19:00:00Z,Bosnia & Herzegovina vs Qatar,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260624T120539Z.csv,2-0,3-1,True,False,87.0,87.0,0.0,87.0,0.6929942518601809,0.10045224825700602,0.32051282051282054,Exact,20.0,20.201197436830668,62.31975561184905,66.58383027024556
2026-06-24T19:00:00Z,Switzerland vs Canada,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260624T120539Z.csv,0-1,2-1,False,False,129.0,0.0,0.0,0.0,0.2893164116306355,0.07792460103436301,0.1875,Tres rare,50.0,47.8870045266629,41.05339282282292,41.452102977196084
2026-06-24T22:00:00Z,Morocco vs Haiti,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260624T120539Z.csv,2-0,4-2,True,False,29.0,29.0,0.0,29.0,0.8088348301031941,0.11624515210275493,0.2826086956521739,Rare,30.0,29.589940888362527,26.89589725227186,31.383680791088473
2026-06-24T22:01:00Z,Scotland vs Brazil,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260624T120539Z.csv,0-2,0-3,True,False,48.0,48.0,0.0,48.0,0.7317647872683587,0.12367894021497078,0.2235294117647059,Rare,30.0,30.186255802873927,38.858113915638675,40.83662050600447
2026-06-25T01:00:00Z,Czech Republic vs Mexico,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260624T120539Z.csv,0-1,0-3,True,False,91.0,91.0,0.0,91.0,0.4952888315539642,0.10040739790311573,0.22641509433962265,Rare,30.0,30.08253750847804,48.091792984959895,50.02328674460212
2026-06-25T01:00:00Z,South Africa vs South Korea,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260624T120539Z.csv,0-1,1-0,False,False,87.0,0.0,0.0,0.0,0.5827818394109505,0.1139291980711805,0.11688311688311688,Tres rare,50.0,50.00000000022576,56.39847993233744,56.46264935467823
2026-06-25T20:00:00Z,Curaçao vs Ivory Coast,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260624T120539Z.csv,0-3,0-2,True,False,53.0,53.0,0.0,53.0,0.83241184796472,0.10808764635406237,0.23170731707317074,Rare,30.0,30.01520555099737,47.362100864970856,49.71235179663046
2026-06-25T20:00:00Z,Ecuador vs Germany,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260624T120539Z.csv,1-0,2-1,True,False,145.0,145.0,0.0,145.0,0.2302240816304737,0.04642444766993967,0.2857142857142857,Rare,30.0,29.234362744901656,34.73968097983341,37.942481447400596
2026-06-25T23:00:00Z,Japan vs Sweden,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260624T120539Z.csv,1-0,1-1,False,False,96.0,0.0,0.0,0.0,0.5092867836944935,0.0891793966895004,0.0625,Tres rare,50.0,52.11299560720228,53.53893674260426,54.046096814808905
2026-06-25T23:00:00Z,Tunisia vs Netherlands,data/mpg/strategy_snapshots/2026/06/mpg_optimal_strategy_20260624T120539Z.csv,0-2,1-3,True,False,56.0,56.0,0.0,56.0,0.8686669773038992,0.12533053751504514,0.16901408450704225,Tres rare,50.0,49.98055571150601,54.909440641642064,56.886595163591466
